

Command;Check;Page;SAD;ADD;DATA;MSB;LSB;Comment
Dl-sec; CHECK: O; 1;;;COM: {'Instruction': 'Force', 'Unit': 'V', 'Signal/SAD': 'PVDD', 'Reference/ADD': 'GND', 'Value/DATA': 3.7, 'PAGE': '', 'Comments': 'args=(), kwargs={}'};
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: b0;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 2c;;
Dl-sec; CHECK: O; 1;;;COM: {'Instruction': 'Force', 'Unit': 'Hz', 'Signal/SAD': 'IOCLK0', 'Reference/ADD': 'GND', 'Value/DATA': inf, 'PAGE': '', 'Comments': 'args=(), kwargs={}'};
